title,description,text,date,language
Inside the Chess Match That Led the Feds to $3.6 Billion in Stolen Bitcoin,The anatomy of the DOJ operation to seize $3.6 billion Bitcoin stolen in the Bitfinex hack is a cautionary tale in an era of rapid blockchain ascendancy.,"A version of this article was published in TIME’s newsletter Into the Metaverse. Subscribe for a weekly guide to the future of the Internet. You can find past issues of the newsletter here.
It’s the… [+10031 chars]",2022-02-10,en
"US dollar net long bets skid to lowest since mid-August 2021 -CFTC, Reuters - Reuters","Speculators' net long positioning in the U.S. dollar dropped in the latest week to its lowest since mid-August 2021, according to calculations by Reuters and U.S. Commodity Futures Trading Commission data released on Friday.","NEW YORK, Feb 11 (Reuters) - Speculators' net long positioning in the U.S. dollar dropped in the latest week to its lowest since mid-August 2021, according to calculations by Reuters and U.S. Commodi… [+3287 chars]",2022-02-11,en
BitConnect Founder Indicted Over $2.4 Billion Cryptocurrency Ponzi Scheme,"From the Hindustan Times:
BitConnect founder Satish Kumbhani was indicted by a U.S. grand jury on charges he orchestrated a global Ponzi scheme that raised $2.4 billion from investors in a fraudulent cryptocurrency investment platform, according to a Justice …","Investors around the world, including those in San Diego, were encouraged to buy BitConnect's open-source, decentralized cryptocurrency, called BCC, using Bitcoin for the purchase. Investors would th… [+1311 chars]",2022-02-27,en
"Unlike in Miami, residents of New York City can't trade their namesake cryptocurrency","New Yorkers can only mine — not buy and sell — the city's namesake token because exchanges offering the coin don't have a BitLicense, Bloomberg said.","New York wants to compete with Miami as the US crypto hub, but its residents can't even trade the city's namesake digital token.
According to a report from Bloomberg News, New Yorkers can only mine … [+1448 chars]",2022-02-28,en
BitMEX co-founder must face criminal trial in anti-money laundering case - Reuters,"A federal judge in Manhattan denied BitMEX co-founder Samuel Reed's motion to dismiss criminal charges against him on Monday, days after two other co-founders of the cryptocurrency exchange pleaded guilty to violating U.S. anti-money laundering rules.","<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are improving … [+2465 chars]",2022-02-28,en
Ukraine to issue non-fungible tokens to fund armed forces,"Announcement by vice-prime minister follows appeal for cryptocurrency donations that has raised £38mUkraine has announced it will issue non-fungible tokens to fund its armed forces, as cryptocurrency becomes an increasingly popular means of giving support to …","Ukraine has announced it will issue non-fungible tokens to fund its armed forces, as cryptocurrency becomes an increasingly popular means of giving support to the government in Kyiv.
Mykhailo Fedoro… [+3251 chars]",2022-03-03,en
"The rise of crypto on Wall Street could end up triggering another financial crisis, global watchdog warns","If financial institutions become more involved in crypto markets, it could affect their balance sheets and liquidity in unexpected ways, the FSB said.","Wall Street institutions' growing connections to crypto markets could threaten financial stability and cause a credit crunch-style financial crisis, global regulators have warned.
The Financial Stab… [+2875 chars]",2022-02-17,en
A viral YouTube takedown of NFTs has already clocked over 5 million views: Here are the biggest revelations,"NFTs and cryptocurrency are a ""bigger fool scam,"" according to a rigorous new takedown video from Canadian YouTuber Dan Olson.","At over two hours long, the wildly popular new YouTube documentary  ""Line Goes Up The Problem With NFTs"" is an exhaustive takedown of the hot new investment vehicle that everyone from Waka Flacka Fla… [+2929 chars]",2022-02-18,en
"Market Uncertainty Causes Metal Prices to Spike, Raises Questions Over Cryptocurrency's Worth",Gold is hitting prices unseen since August 2020.,"The uncertainty of the market has put gold on track to hit $2,000 per ounce on Monday, reaching levels unseen since August 2020. Palladium, another metal considered a hedge for inflation, reached an … [+1664 chars]",2022-03-07,en
UK Intelligence Agencies Are Investigating Cryptocurrency Transactions,"MattSparkes writes: Bitstamp, Europe's largest cryptocurrency exchange, says it has handed over information on some of its customers to the UK's intelligence agencies, MI5 and MI6. The news suggests that bitcoin and other cryptocurrencies are being used in se…","Bitstamp, Europe's largest cryptocurrency exchange, says it has handed over information on some of its customers to the UK's intelligence agencies, MI5 and MI6. The news suggests that bitcoin and oth… [+470 chars]",2022-02-25,en
Dow surges 600 points as oil prices pull back from 14-year highs,The S&P 500 Energy index has shot up about 40% so far in 2022 as oil prices surge on the back of Russia's invasion of Ukraine.,"US stocks rose Wednesday, with equities finding some relief as prices for oil that recently have been propelled higher on the back of Russia's invasion of Ukraine oil prices moved lower. 
The S&amp;… [+1476 chars]",2022-03-09,en
"Bitcoin, Dogecoin, Shiba Inu and other cryptocurrencies get clobbered. Blame Putin","Far from being a safe bet in risky times, cryptocurrencies are volatile to geopolitical tensions.
Cryptocurrencies around the world are getting pummeled today. A quick glance at CoinDesk’s tracker will show you a wall of red. At the time of this writing, most…","Cryptocurrencies around the world are getting pummeled today. A quick glance at CoinDesk’s tracker will show you a wall of red. At the time of this writing, most major cryptocurrencies are down at le… [+1204 chars]",2022-02-18,en
"Gold hits 20-month high as Russia launches 'full-scale' invasion of Ukraine, bitcoin plunges - Kitco NEWS","<ol><li>Gold hits 20-month high as Russia launches 'full-scale' invasion of Ukraine, bitcoin plunges  Kitco NEWS
</li><li>Oil heads higher as Ukraine tensions escalate — price depends on what happens next  CBC.ca
</li><li>Oil Prices Top $100 A Barrel While …","Gold and oil are up sharply after recent reports that the Russia-Ukraine conflict is intensifying. 
Spot gold crested $1,940 an ounce Wednesday evening eastern time, its highest level since June 202… [+1320 chars]",2022-02-24,en
What Is USDT and When to Invest in It?,"Over the last few years, cryptocurrencies have entered the mainstream. People are now showing interest in subjects within the crypto ecosystem, like stablecoins, altcoins (altcoins is merely any coin other than bitcoin) — yielding, farming, and so on. Tether,…","Over the last few years, cryptocurrencies have entered the mainstream. People are now showing interest in subjects within the crypto ecosystem, like stablecoins, altcoins (altcoins is merely any coin… [+12050 chars]",2022-03-08,en
Blockchain for Jobs Future: Benefits and Jobs Opportunities Explained,"Right now, there’s a lot of talk about the Blockchain and how it will change the world as we know it. However, many people are still trying to understand what the Blockchain is and how it works. But one thing is for sure- the Blockchain is here to stay. And w…","Right now, theres a lot of talk about the Blockchain and how it will change the world as we know it. However, many people are still trying to understand what the Blockchain is and how it works.
But … [+10990 chars]",2022-03-03,en
The CIA Has Secretly Run a “Bulk Collection” Program,"Plus: Vulnerability fixes, the return of EARN IT, and more of the week’s top security news.","Cryptocurrency was everywhere this week, funding anti-Russian resistance groups and hacktivists in Ukraine and being seized by the US Department of Justice in a massive trove of laundered bitcoin wor… [+4501 chars]",2022-02-12,en
Ukraine Receives $42M in Cryptocurrency Donations - Plus 180 NFTs They Didn't Ask For,"Thursday the Washington Post reported the Ukrainian government had already received more than $42 million in cryptocurrency donations since last Saturday — ""plus digital artwork including a limited edition worth roughly $200,000,"" according to blockchain anal…","Some of the crypto donations have already been converted into traditional currency, primarily euros, according to Kuna.io, the Kyiv-based cryptocurrency exchange that helped the government set up and… [+2656 chars]",2022-03-05,en
Pornhub and the Value of Bitcoin,"In December 2020, Visa, Mastercard, and Discover stopped processing payments for Pornhub, a website based in Canada that allows users around the world to upload","10 PagesPosted: 19 Feb 2022
Date Written: February 16, 2022
Abstract
In December 2020, Visa, Mastercard, and Discover stopped processing payments for Pornhub, a website based in Canada that allows… [+460 chars]",2022-03-08,en
"Someone Bought NFTs From Accused Bitcoin Launderer, And They're Pissed",The NFTs previously owned by accused Bitcoin launderer Heather Morgan are no longer visible on OpenSea.,The world was shocked this week by the allegations against a terminally online husband and wife for successfully laundering stolen bitcoins worth $1 billion and conspiracy to launder nearly $4 billio… [+3529 chars],2022-02-10,en
Coinbase shares slip as app crashes briefly after Super Bowl ad - Reuters,"Shares of the largest publicly listed U.S. crypto exchange Coinbase <a href=""https://www.reuters.com/companies/COIN.O"" target=""_blank"">(COIN.O)</a> slipped in premarket trading on Monday, after a surge in traffic following a Super Bowl advertisement resulted …","Feb 14 (Reuters) - Shares of the largest publicly listed U.S. crypto exchange Coinbase (COIN.O) slipped in premarket trading on Monday, after a surge in traffic following a Super Bowl advertisement r… [+1179 chars]",2022-02-14,en
Coinbase to let crypto recipients in Mexico cash out in local currency - Reuters,"Coinbase Global <a href=""https://www.reuters.com/companies/COIN.O"" target=""_blank"">(COIN.O)</a> on Tuesday said it is launching a pilot program to allow cryptocurrency recipients in Mexico to cash out their funds in pesos, a move aimed at shaking up the $700 …","Feb 15 (Reuters) - Coinbase Global (COIN.O) on Tuesday said it is launching a pilot program to allow cryptocurrency recipients in Mexico to cash out their funds in pesos, a move aimed at shaking up t… [+980 chars]",2022-02-15,en
Thailand approves relaxed tax rules for digital assets - Reuters,Thailand's cabinet on Tuesday relaxed tax rules for investments in digital assets to help promote and develop the industry following a surge in cryptocurrency trading in Southeast Asia's second-largest economy.,"BANGKOK, March 8 (Reuters) - Thailand's cabinet on Tuesday relaxed tax rules for investments in digital assets to help promote and develop the industry following a surge in cryptocurrency trading in … [+1316 chars]",2022-03-08,en
EU checking if cryptoassets being used to bust Russian sanctions - EU official - Reuters,"The European Commission is studying whether cryptoassets are being used to get round financial sanctions imposed on Russian banks following the country's invasion of Ukraine, a senior European Union official said on Wednesday.","Representations of cryptocurrencies Bitcoin, Ethereum, DogeCoin, Ripple, and Litecoin are seen in front of a displayed Binance logo in this illustration taken, June 28, 2021. REUTERS/Dado Ruvic/Illus… [+1327 chars]",2022-03-02,en
Ex-Canadian government official extradited to face charges over ransomware attacks - Reuters.com,"A former Canadian government official has been extradited to the United States to face criminal charges alleging he deployed ransomware known as ""NetWalker"" to target companies, municipalities, hospitals and law enforcement during the height of the COVID-19 p…","WASHINGTON, March 10 (Reuters) - A former Canadian government official has been extradited to the United States to face criminal charges alleging he deployed ransomware known as ""NetWalker"" to target… [+1388 chars]",2022-03-10,en
Bitcoin vs. Bitcoin Cash: What's the Difference?,"Bitcoin Cash sounds like a contradiction—and what does it have to do with Bitcoin, anyway?","Almost everyone has heard about Bitcoin, the world's first and most valuable cryptocurrency. But you may have also heard of Bitcoin Cash, another popular and valuable currency that now has a solid fo… [+6887 chars]",2022-02-14,en
Tech Companies’ Super Bowl Ads Leaned Into Dystopia,"If Sunday night’s Big Game commercials had any message, it was that corporations have a disconcerting vision for our future.","Super Bowl commercials, in advertising lore, are the holy grail: a chance for a company to pitch itself to tens of millions of people all at once. Its a real best-foot-forward scenario. But during Su… [+4953 chars]",2022-02-14,en
"US banks, Costco, Sweetgreen - Reuters.com","U.S. stock index futures cut some losses on Friday after data pointed to solid jobs growth in February, although lingering concerns about the Ukraine conflict weighed on sentiment.","U.S. stock index futures cut some losses on Friday after data pointed to solid jobs growth in February, although lingering concerns about the Ukraine conflict weighed on sentiment.
At 8:57 ET, Dow e… [+3382 chars]",2022-03-04,en
"Ukraine is asking for dogecoin donations, preferring the joke coin over less valuable rubles","Dogecoin is now worth more than rubles, according to Ukraine's Vice Prime Minister Mykhailo Fedorov, who announced today that Ukraine is accepting donations of the memecoin to help fight against Russia.



""Now even meme can support our army and save lives fr…","Dogecoin is now worth more than rubles, according to Ukraine's Vice Prime Minister Mykhailo Fedorov, who announced today that Ukraine is accepting donations of the memecoin to help fight against Russ… [+1979 chars]",2022-03-02,en
"More Than Half of Bitcoin Investors Are in the Red, Study Says","Most Bitcoin investors have actually lost money on the cryptocurrency so far, according to one blockchain analysis.","The internet abounds in tales of overnight crypto millionaires. But making a killing – or even any money at all may be a lot harder than it looks. Just how hard? According to one recent estimate, mor… [+1907 chars]",2022-02-13,en
"Ontario court freezes millions in cash, cryptocurrency donated to Ottawa protesters - The Globe and Mail","<ol><li>Ontario court freezes millions in cash, cryptocurrency donated to Ottawa protesters  The Globe and Mail
</li><li>More than 130 Prince George residents donated to Freedom Convoy, according to hacked document  Prince George Citizen
</li><li>More than …","Trucks participate in a blockade near the parliament building as a demonstration organized by truck drivers opposing vaccine mandates continues on Feb. 17.Scott Olson/Getty Images North America
An O… [+5984 chars]",2022-02-18,en
